,日付,開催_新潟,開催_福島,開催_東京,開催_中京,開催_小倉,天気_晴,天気_小雨,天気_曇,R,レース名_G3,レース名_OP,頭数,枠番,馬番,着順,斤量,距離,馬場_良,馬場_稍,馬体重,増減,コース_障
0,353,0,0,0,1,0,0,0,1,5,0,1,14,6,10,3,60,33.3,1,0,468,4,1
1,36,0,0,0,0,1,1,0,0,4,0,1,14,4,5,9,60,33.9,1,0,474,6,1
2,156,0,0,0,1,0,0,1,0,1,0,1,12,8,12,4,60,33.3,1,0,464,-10,1
3,232,1,0,0,0,0,1,0,0,4,0,1,13,7,10,2,60,28.5,1,0,462,-2,1
4,302,1,0,0,0,0,1,0,0,4,0,1,10,1,1,2,60,28.5,1,0,468,6,1
5,323,0,0,1,0,0,1,0,0,8,0,1,13,8,13,0,59,31.1,1,0,474,6,1
6,126,1,0,0,0,0,1,0,0,1,0,1,14,6,9,8,60,28.9,1,0,466,-8,1
7,147,1,0,0,0,0,0,1,0,4,0,1,14,4,5,9,60,28.9,0,1,468,2,1
8,182,0,1,0,0,0,1,0,0,4,0,1,13,7,11,7,60,27.5,1,0,460,-8,1
9,210,1,0,0,0,0,1,0,0,8,1,0,14,5,7,13,60,32.5,1,0,462,2,1
