,日付,開催,天 気,R,レース名,映 像,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,馬場 指数,タイム,着差,ﾀｲﾑ 指数,通過,ペース,上り,馬体重,厩舎 ｺﾒﾝﾄ,備考,勝ち馬 (2着馬),賞金
0,2022/02/12,1東京5,晴,8,4歳以上1勝クラス,,15,4,7,274.3,15,8,松岡正海,55,ダ2100,重,**,2:11.4,1.5,**,13-14-13-13,30.5-36.3,36.5,466(+2),,,ローズボウル,
1,2022/01/30,1東京2,曇,7,4歳以上1勝クラス,,12,7,9,139.1,11,8,松岡正海,55,ダ2100,良,**,2:14.4,1.6,**,12-12-9-10,31.9-36.2,36.9,464(0),,,フジマサインパクト,
2,2022/01/09,1中山3,晴,8,4歳以上1勝クラス,,15,5,8,56.6,10,7,松岡正海,55,ダ2400,良,**,2:37.9,1.9,**,11-10-9-8,38.2-38.0,38.5,464(+2),,,メラーキ,
3,2021/12/05,5中山2,晴,7,3歳以上1勝クラス,,16,6,11,62.1,11,7,松岡正海,55,ダ2500,良,**,2:44.2,1.6,**,10-10-8-3,31.5-39.2,40.1,462(-2),,,カフェキング,
4,2021/11/06,5東京1,晴,8,3歳以上1勝クラス,,15,4,6,190.9,15,4,松岡正海,55,ダ2100,良,**,2:13.3,0.6,**,15-15-15-15,31.2-39.0,37.8,464(0),,,ジュンキリタップ,110.0
5,2021/10/24,5新潟6,晴,3,3歳以上1勝クラス,,14,7,12,210.0,14,11,勝浦正樹,55,ダ1800,不,**,1:53.3,2.5,**,11-11-9-10,36.0-37.6,39.0,464(-10),,,カナリキケン,
6,2021/10/02,4中山8,晴,7,3歳以上1勝クラス,,16,4,7,45.0,11,13,丹内祐次,55,ダ1800,稍,**,1:54.3,2.4,**,14-13-14-14,34.9-38.7,39.8,474(+16),,,ヴァシリエフスキー,
7,2021/07/10,1福島3,曇,8,3歳以上1勝クラス,,14,4,5,103.7,11,10,吉田豊,55,ダ1700,重,**,1:47.2,2.7,**,13-13-14-14,30.0-37.4,38.3,458(-2),,,プレフェリータ,
8,2021/07/03,1福島1,曇,8,3歳以上1勝クラス,,8,6,6,53.8,7,4,吉田豊,55,ダ1700,稍,**,1:47.9,1.1,**,6-6-6-5,30.4-38.3,38.7,460(-4),,,スノームーン,110.0
9,2021/05/29,2東京11,晴,8,4歳以上1勝クラス,,14,4,7,40.9,10,13,丸田恭介,55,ダ1600,稍,**,1:39.0,1.7,**,13-13,35.3-37.8,38.1,464(-4),,,シュッドヴァデル,
10,2021/04/18,1新潟4,雨,7,4歳以上1勝クラス,,15,6,11,10.8,4,14,古川奈穂,51,ダ1800,不,**,1:57.8,3.3,**,7-6-8-8,38.2-39.5,42.2,468(+2),,,アヴァニイ,
11,2021/03/27,3中山1,晴,7,4歳以上1勝クラス,,16,3,5,24.1,7,4,吉田豊,55,ダ1800,良,**,1:55.2,0.5,**,10-10-12-12,37.2-37.7,37.4,466(+4),,,ジュールサイクル,110.0
12,2021/02/13,1東京5,晴,4,4歳以上1勝クラス,,16,2,3,34.5,10,9,吉田豊,55,ダ1600,良,**,1:39.4,0.5,**,11-11,36.6-36.4,36.0,462(-10),,,アテナノワール,
13,2021/01/09,1中山2,晴,4,4歳以上1勝クラス,,16,2,3,89.5,11,6,吉田豊,55,ダ1800,良,**,1:55.5,0.6,**,15-15-14-11,37.2-38.6,38.2,472(+8),,,ニーズヘッグ,
14,2020/12/06,5中山2,晴,8,3歳以上1勝クラス,,15,1,1,24.6,8,6,吉田豊,55,ダ1800,良,**,1:55.4,0.5,**,9-8-9-11,37.7-39.2,39.0,464(-4),,,ストラトフォード,
15,2020/10/10,4東京1,雨,7,3歳以上1勝クラス,,15,4,6,46.4,11,7,石川裕紀,55,ダ1600,不,**,1:37.0,0.8,**,9-7,34.5-37.8,37.8,468(-2),,,ワンダーマンボ,
16,2020/09/21,4中山5,曇,7,3歳以上1勝クラス,,15,7,12,95.1,14,8,吉田豊,55,芝1800,良,**,1:49.8,0.9,**,12-12-9-8,35.8-36.5,36.5,470(+6),,,マッチレスノヴェル,
17,2020/08/29,3新潟5,晴,8,3歳以上1勝クラス,,14,3,5,38.1,10,9,岩田康誠,55,ダ1800,良,**,1:54.4,1.7,**,13-13-14-13,37.0-38.4,38.6,464(+6),,,パールデュー,
18,2020/07/18,2福島5,曇,8,3歳以上1勝クラス,,15,5,9,21.1,9,8,丸田恭介,55,ダ1700,重,**,1:46.3,1.2,**,14-12-11-12,29.4-38.1,38.4,458(+8),,,ストリートピアノ,
19,2020/04/19,1福島4,曇,9,4歳以上1勝クラス,,15,2,3,6.2,4,7,横山武史,55,ダ1700,重,**,1:47.3,0.3,**,9-6-9-6,30.8-38.1,37.7,450(-10),,,ドゥエルメス,
