,日付,開催,天 気,R,レース名,映 像,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,馬場 指数,タイム,着差,ﾀｲﾑ 指数,通過,ペース,上り,馬体重,厩舎 ｺﾒﾝﾄ,備考,勝ち馬 (2着馬),賞金
0,2018/12/22,5阪神7,曇,11.0,阪神C(G2),,16,6.0,11,9.9,6,8,ボウマン,57,芝1400,稍,**,1:22.2,1.1,**,5-5,34.8-34.9,35.6,474(-2),,,ダイアナヘイロー,
1,2018/09/30,4中山9,雨,11.0,スプリンターズS(G1),,16,8.0,16,13.3,5,10,戸崎圭太,57,芝1200,稍,**,1:09.0,0.7,**,13-14,33.0-35.3,34.7,476(-4),,,ファインニードル,
2,2018/06/03,3東京2,晴,11.0,安田記念(G1),,16,5.0,9,14.6,8,9,田辺裕信,58,芝1600,良,**,1:32.1,0.8,**,15-15,34.2-34.5,33.7,480(+8),,,モズアスコット,
3,2018/03/25,2中京6,晴,11.0,高松宮記念(G1),,18,3.0,6,2.3,1,8,Ｍ．デム,57,芝1200,良,**,1:08.9,0.4,**,17-17,33.3-35.2,33.7,472(-6),,,ファインニードル,
4,2018/02/25,1阪神2,曇,11.0,阪急杯(G3),,18,3.0,6,3.8,2,3,川田将雅,58,芝1400,良,**,1:20.1,0.0,**,15-15,34.2-34.6,33.4,478(+6),,,ダイアナヘイロー,1009.0
5,2017/11/19,5京都6,晴,11.0,マイルチャンピオンS(G1),,18,4.0,7,5.0,3,8,Ｃ．デム,57,芝1600,稍,**,1:34.2,0.4,**,12-9,34.6-35.2,34.6,472(-2),,,ペルシアンナイト,
6,2017/10/01,4中山9,曇,11.0,スプリンターズS(G1),,16,4.0,8,3.2,1,1,Ｍ．デム,57,芝1200,良,**,1:07.6,0.0,**,11-10,33.9-33.7,33.0,474(0),,,(レッツゴードンキ),10140.2
7,2017/06/04,3東京2,晴,11.0,安田記念(G1),,18,3.0,6,7.9,3,3,Ｍ．デム,58,芝1600,良,**,1:31.6,0.1,**,14-13,33.9-34.4,33.7,474(0),,,サトノアラジン,2655.2
8,2017/05/13,2東京7,雨,11.0,京王杯スプリングC(G2),,13,7.0,10,5.0,2,1,Ｍ．デム,58,芝1400,重,**,1:23.2,-0.1,**,8-9,36.4-34.2,33.7,474(+2),,,(クラレント),5993.8
9,2017/03/26,2中京6,小雨,11.0,高松宮記念(G1),,18,4.0,7,3.6,1,3,Ｍ．デム,57,芝1200,稍,**,1:09.0,0.3,**,8-6,33.8-34.9,34.6,472(+7),,,セイウンコウセイ,2554.0
10,2016/12/11,シャティ,晴,,香港スプリント(G1),,14,,9,5.2,3,12,Ｍ．デム,57,芝1200,良,,1:09.7,,,,,,計不,,,,
11,2016/10/02,4中山8,晴,11.0,スプリンターズS(G1),,16,7.0,13,9.2,3,1,Ｍ．デム,57,芝1200,良,**,1:07.6,0.0,**,9-7,33.4-34.2,33.5,472(+6),,,(ミッキーアイル),10136.0
12,2016/07/03,3中京2,曇,11.0,CBC賞(G3),,13,7.0,11,7.5,3,1,Ｍ．デム,56,芝1200,良,**,1:07.2,0.0,**,9-9,33.8-33.4,32.7,466(-4),,,(ラヴァーズポイント),3945.5
13,2016/05/28,2東京11,曇,11.0,欅S(OP),,16,2.0,4,8.3,5,1,吉田豊,56,ダ1400,稍,**,1:22.6,0.0,**,5-5,35.0-36.0,35.3,470(+4),,,(エイシンバッケン),2234.3
14,2016/04/02,2阪神3,晴,11.0,コーラルS(OP),,14,2.0,2,12.9,6,4,川田将雅,56,ダ1400,良,**,1:23.1,0.4,**,7-7,34.3-36.2,36.0,466(+2),,,ノボバカラ,330.0
15,2016/03/21,2中京4,晴,11.0,夢見月S(OP),,12,6.0,8,12.1,5,2,勝浦正樹,56,ダ1400,良,**,1:24.0,0.5,**,7-7,34.4-37.2,36.9,464(-12),,,ノウレッジ,888.6
16,2016/01/31,1東京2,晴,11.0,根岸S(G3),,16,1.0,1,20.8,7,10,吉田豊,56,ダ1400,稍,**,1:23.3,1.3,**,4-3,34.6-35.6,36.6,476(+6),,,モーニン,
17,2015/11/15,5東京4,晴,11.0,オーロC(OP),,18,7.0,14,8.6,4,8,ベリー,55,芝1400,稍,**,1:22.1,0.4,**,10-11,35.5-34.3,33.8,470(+2),,,ロサギガンティア,
18,2015/10/11,4東京2,曇,10.0,テレビ静岡賞(1600万下),,16,1.0,1,8.6,4,1,吉田豊,57,ダ1400,稍,**,1:24.2,0.0,**,5-5,35.6-36.4,35.7,468(-2),,,(ノウレッジ),1855.7
19,2015/03/15,2中京2,曇,11.0,トリトンS(1600万下),,18,8.0,17,5.2,2,1,勝浦正樹,57,芝1200,良,**,1:10.9,-0.1,**,11-11,35.4-35.5,34.6,470(-2),,,(エポワス),1672.7
20,2015/02/15,1東京6,晴,10.0,雲雀S(1600万下),,15,3.0,4,22.7,7,4,北村宏司,57,芝1400,良,**,1:22.1,0.2,**,4-4,35.3-34.4,34.2,472(+14),,,オメガヴェンデッタ,270.0
21,2014/12/07,4中京2,晴,12.0,鳴海特別(1000万下),,16,8.0,15,4.1,2,1,田辺裕信,56,ダ1200,良,**,1:11.9,0.0,**,3-3,35.6-36.3,36.1,458(-2),,,(ルミナスウイング),1332.7
22,2014/11/24,5東京7,晴,10.0,西湖特別(1000万下),,16,6.0,12,4.6,1,3,北村宏司,56,ダ1400,良,**,1:25.4,0.1,**,7-6,36.4-36.3,36.0,460(-4),,,トーセンマイティ,376.3
23,2014/10/18,4東京4,晴,6.0,3歳以上500万下,,16,3.0,6,4.3,2,1,北村宏司,55,ダ1400,良,**,1:24.6,-0.3,**,4-4,35.8-36.6,36.2,464(-2),,,(トーセンマイティ),750.0
