,日付,開催,天気,R,レース名,頭数,枠番,馬番,着順,斤量,距離,馬場,馬体重,増減,コース
0,210,新潟,晴,8,G3,14,5,7,13,60.0,32.5,良,462,2,障
1,182,福島,晴,4,OP,13,7,11,7,60.0,27.5,良,460,-8,障
2,147,新潟,小雨,4,OP,14,4,5,9,60.0,28.9,稍,468,2,障
3,126,新潟,晴,1,OP,14,6,9,8,60.0,28.9,良,466,-8,障
4,323,東京,晴,8,OP,13,8,13,0,59.0,31.1,良,474,6,障
5,302,新潟,晴,4,OP,10,1,1,2,60.0,28.5,良,468,6,障
6,232,新潟,晴,4,OP,13,7,10,2,60.0,28.5,良,462,-2,障
7,156,中京,小雨,1,OP,12,8,12,4,60.0,33.3,良,464,-10,障
8,36,小倉,晴,4,OP,14,4,5,9,60.0,33.9,良,474,6,障
9,353,中京,曇,5,OP,14,6,10,3,60.0,33.3,良,468,4,障
10,304,福島,晴,4,OP,13,5,7,4,60.0,27.5,良,464,-4,障
11,234,新潟,晴,4,OP,11,1,1,5,60.0,28.5,良,468,2,障
12,185,福島,曇,4,OP,14,4,5,3,60.0,27.5,重,466,-4,障
13,143,新潟,晴,4,OP,14,6,10,8,60.0,32.9,良,470,0,障
14,101,福島,晴,5,OP,13,7,12,4,60.0,27.5,良,470,0,障
15,340,中京,曇,5,OP,13,3,4,4,60.0,33.0,良,470,0,障
16,312,京都,晴,8,G3,13,4,4,8,60.0,31.7,良,470,0,障
17,291,新潟,曇,4,OP,10,1,1,2,60.0,32.5,良,470,0,障
18,235,新潟,晴,1,未勝利,13,7,11,1,60.0,28.5,稍,470,-4,障
19,165,東京,雨,4,未勝利,13,7,11,11,60.0,30.0,不,474,4,障
20,138,新潟,晴,4,未勝利,14,8,14,3,60.0,28.9,良,470,2,障
21,110,福島,曇,4,未勝利,14,7,11,2,60.0,27.7,良,468,-4,障
22,26,中京,晴,4,未勝利,13,8,12,6,60.0,30.0,良,472,8,障
23,180,中京,曇,11,その他,16,4,7,13,54.0,18.0,良,464,-4,ダ
24,139,東京,晴,12,その他,16,3,5,9,54.0,21.0,良,468,0,ダ
25,103,中山,曇,12,その他,16,6,11,1,57.0,18.0,良,468,-4,ダ
26,76,中山,曇,12,その他,16,2,4,2,57.0,18.0,良,472,-2,ダ
27,41,東京,晴,8,その他,16,2,4,5,57.0,21.0,良,474,2,ダ
28,19,中京,晴,11,その他,15,5,9,7,54.0,19.0,稍,472,4,ダ
29,279,京都,曇,9,その他,14,5,8,6,57.0,19.0,不,468,4,ダ
30,258,中山,曇,10,その他,9,8,9,2,54.0,24.0,良,464,-4,ダ
31,224,札幌,曇,12,その他,13,1,1,6,54.0,17.0,重,468,2,ダ
32,196,函館,雨,10,その他,13,6,8,2,57.0,17.0,不,466,2,ダ
